Number	Northing	Easting	Elevation	Raw Desc	Latitude	Longitude
1	2113141.747420	6763328.81371	0.00	A1 R1 P1	38.96252969410	-121.29075969600
2	2113141.725920	6763332.14721	0.00	A1 R1 P2	38.96252956360	-121.29074797300
3	2113141.530630	6763362.14661	0.00	A1 R1 P11	38.96252838450	-121.29064247400
4	2113141.508830	6763365.47978	0.00	A1 R1 P12	38.96252825320	-121.29063075200
5	2113141.487440	6763368.81321	0.00	A1 R1 P13	38.96252812300	-121.29061902900
6	2113141.465710	6763372.14655	0.00	A1 R1 P14	38.96252799190	-121.29060730700
7	2113141.443830	6763375.47961	0.00	A1 R1 P15	38.96252786040	-121.29059558500
8	2113141.422140	6763378.81281	0.00	A1 R1 P16	38.96252772940	-121.29058386300
9	2113141.400800	6763382.14626	0.00	A1 R1 P17	38.96252759930	-121.29057214100
10	2113141.378850	6763385.47960	0.00	A1 R1 P18	38.96252746760	-121.29056041800
