Number	Northing	Easting	Elevation	Raw Desc	Latitude	Longitude	
21033	2112184.953600	6764519.00288	0.00	A2 R10 P33	38.95987701630	-121.28660034200
21034	2112184.931910	6764522.33625	0.00	A2 R10 P34	38.95987688490	-121.28658862000
21035	2112184.910200	6764525.66948	0.00	A2 R10 P35	38.95987675340	-121.28657689800
21036	2112184.888470	6764529.00267	0.00	A2 R10 P36	38.95987662190	-121.28656517700
21037	2112184.866850	6764532.33593	0.00	A2 R10 P37	38.95987649070	-121.28655345500
21038	2112184.845160	6764535.66924	0.00	A2 R10 P38	38.95987635930	-121.28654173300
21039	2112184.823470	6764539.00260	0.00	A2 R10 P39	38.95987622790	-121.28653001100
21040	2112184.801700	6764542.33579	0.00	A2 R10 P40	38.95987609630	-121.28651829000
21041	2112184.780140	6764545.66891	0.00	A2 R10 P41	38.95987596520	-121.28650656900
21042	2112184.758400	6764549.00224	0.00	A2 R10 P42	38.95987583370	-121.28649484700
21043	2112184.736750	6764552.33558	0.00	A2 R10 P43	38.95987570230	-121.28648312500
21044	2112184.714900	6764555.66875	0.00	A2 R10 P44	38.95987557050	-121.28647140300
21045	2112184.693240	6764559.00201	0.00	A2 R10 P45	38.95987543920	-121.28645968200
21046	2112184.671750	6764562.33535	0.00	A2 R10 P46	38.95987530830	-121.28644796000
21047	2112184.649890	6764565.66867	0.00	A2 R10 P47	38.95987517640	-121.28643623800
21048	2112184.628290	6764569.00190	0.00	A2 R10 P48	38.95987504520	-121.28642451600
21049	2112184.606660	6764572.33515	0.00	A2 R10 P49	38.95987491400	-121.28641279400
21050	2112184.584830	6764575.66841	0.00	A2 R10 P50	38.95987478220	-121.28640107300
21051	2112184.563180	6764579.00162	0.00	A2 R10 P51	38.95987465090	-121.28638935100
21052	2112184.541520	6764582.33487	0.00	A2 R10 P52	38.95987451950	-121.28637763000
21053	2112184.519890	6764585.66816	0.00	A2 R10 P53	38.95987438820	-121.28636590800
21054	2112184.498080	6764589.00140	0.00	A2 R10 P54	38.95987425650	-121.28635418600
21055	2112184.476440	6764592.33462	0.00	A2 R10 P55	38.95987412520	-121.28634246500
21056	2112184.454730	6764595.66787	0.00	A2 R10 P56	38.95987399370	-121.28633074300
21057	2112184.433070	6764599.00124	0.00	A2 R10 P57	38.95987386240	-121.28631902100
21058	2112184.411360	6764602.33460	0.00	A2 R10 P58	38.95987373090	-121.28630729900
21059	2112184.389610	6764605.66779	0.00	A2 R10 P59	38.95987359930	-121.28629557700
21060	2112184.368070	6764609.00091	0.00	A2 R10 P60	38.95987346830	-121.28628385600
21061	2112184.346310	6764612.33423	0.00	A2 R10 P61	38.95987333660	-121.28627213400
21062	2112184.324630	6764615.66751	0.00	A2 R10 P62	38.95987320520	-121.28626041300
21063	2112184.302830	6764619.00063	0.00	A2 R10 P63	38.95987307350	-121.28624869100
21064	2112184.281180	6764622.33392	0.00	A2 R10 P64	38.95987294220	-121.28623697000
21065	2112184.259610	6764625.66724	0.00	A2 R10 P65	38.95987281110	-121.28622524800
21066	2112184.237970	6764629.00048	0.00	A2 R10 P66	38.95987267980	-121.28621352600


