Number	Northing	Easting	Elevation	Raw Desc	Latitude	Longitude	
3000	2112280.6540	6764409.7190	0.00	A2 R1 P1	38.573649	-121.171309
3001	2112280.6320	6764413.0530	0.00	A2 R1 P1/2	38.573649	-121.171305
3002	2112280.6100	6764416.3860	0.00	A2 R1 P2/3	38.573649	-121.171300
3003	2112280.5890	6764419.7190	0.00	A2 R1 P3/4	38.573649	-121.171296
3004	2112280.5670	6764423.0520	0.00	A2 R1 P4/5	38.573649	-121.171292
3005	2112280.5450	6764426.3860	0.00	A2 R1 P5/6	38.573649	-121.171288
3006	2112280.5230	6764429.7190	0.00	A2 R1 P6/7	38.573649	-121.171283
3007	2112280.5020	6764433.0520	0.00	A2 R1 P7/8	38.573649	-121.171279
3008	2112280.4800	6764436.3850	0.00	A2 R1 P8/9	38.573649	-121.171275
3009	2112280.4580	6764439.7190	0.00	A2 R1 P9/10	38.573649	-121.171271
3010	2112280.4370	6764443.0520	0.00	A2 R1 P10/11	38.573649	-121.171267
3011	2112280.4150	6764446.3850	0.00	A2 R1 P11/12	38.573649	-121.171262
3012	2112280.3930	6764449.7180	0.00	A2 R1 P12/13	38.573649	-121.171258
3013	2112280.3720	6764453.0520	0.00	A2 R1 P13/14	38.573649	-121.171254
3014	2112280.3500	6764456.3850	0.00	A2 R1 P14/15	38.573649	-121.171250
3015	2112280.3280	6764459.7180	0.00	A2 R1 P15/16	38.573649	-121.171245
3016	2112280.3070	6764463.0510	0.00	A2 R1 P16/17	38.573649	-121.171241
3017	2112280.2850	6764466.3850	0.00	A2 R1 P17/18	38.573649	-121.171237
3018	2112280.2630	6764469.7180	0.00	A2 R1 P18/19	38.573648	-121.171233
3019	2112280.2420	6764473.0510	0.00	A2 R1 P19/20	38.573648	-121.171229
3020	2112280.2200	6764476.3850	0.00	A2 R1 P20/21	38.573648	-121.171224
3021	2112280.1980	6764479.7180	0.00	A2 R1 P21/22	38.573648	-121.171220
3022	2112280.1770	6764483.0510	0.00	A2 R1 P22/23	38.573648	-121.171216
3023	2112280.1550	6764486.3840	0.00	A2 R1 P23/24	38.573648	-121.171212
3024	2112280.1330	6764489.7180	0.00	A2 R1 P24/25	38.573648	-121.171208
3025	2112280.1110	6764493.0510	0.00	A2 R1 P25/26	38.573648	-121.171203
3026	2112280.0900	6764496.3840	0.00	A2 R1 P26/27	38.573648	-121.171199
3027	2112280.0680	6764499.7170	0.00	A2 R1 P27/28	38.573648	-121.171195
3028	2112280.0460	6764503.0510	0.00	A2 R1 P28/29	38.573648	-121.171191
3029	2112280.0250	6764506.3840	0.00	A2 R1 P29/30	38.573648	-121.171186
3030	2112280.0030	6764509.7170	0.00	A2 R1 P30/31	38.573648	-121.171182
3031	2112279.9810	6764513.0500	0.00	A2 R1 P31/32	38.573648	-121.171178
3032	2112279.9600	6764516.3840	0.00	A2 R1 P32/33	38.573648	-121.171174
3033	2112279.9380	6764519.7170	0.00	A2 R1 P33/34	38.573648	-121.171170
3034	2112279.9160	6764523.0500	0.00	A2 R1 P34/35	38.573648	-121.171165
3035	2112279.8950	6764526.3830	0.00	A2 R1 P35/36	38.573648	-121.171161
3036	2112279.8730	6764529.7170	0.00	A2 R1 P36/37	38.573648	-121.171157
3037	2112279.8510	6764533.0500	0.00	A2 R1 P37/38	38.573648	-121.171153
3038	2112279.8300	6764536.3830	0.00	A2 R1 P38/39	38.573648	-121.171148
3039	2112279.8080	6764539.7170	0.00	A2 R1 P39/40	38.573647	-121.171144
3040	2112279.7860	6764543.0500	0.00	A2 R1 P40/41	38.573647	-121.171140
3041	2112279.7650	6764546.3830	0.00	A2 R1 P41/42	38.573647	-121.171136
3042	2112279.7430	6764549.7160	0.00	A2 R1 P42/43	38.573647	-121.171132
3043	2112279.7210	6764553.0500	0.00	A2 R1 P43/44	38.573647	-121.171127
3044	2112279.6990	6764556.3830	0.00	A2 R1 P44/45	38.573647	-121.171123
3045	2112279.6780	6764559.7160	0.00	A2 R1 P45/46	38.573647	-121.171119
3046	2112279.6560	6764563.0490	0.00	A2 R1 P46/47	38.573647	-121.171115
3047	2112279.6340	6764566.3830	0.00	A2 R1 P47/48	38.573647	-121.171110
